feature,correct_mean,wrong_mean,correct_median,wrong_median,u_stat,p_value,n_correct,n_wrong
n_steps,7.490566037735849,9.536585365853659,7.0,9.0,1630.0,5.344193314004129e-07,159,41
depth,4.238993710691824,5.365853658536586,4.0,5.0,1814.0,5.284970210934916e-06,159,41
mean_out_degree,0.9902402279760771,1.0993678408312555,1.0,1.0833333333333333,2031.5,0.00017461978597142934,159,41
mean_in_degree,0.9902402279760771,1.0993678408312555,1.0,1.0833333333333333,2031.5,0.00017461978597142934,159,41
frac_facts,0.3593359470717961,0.2867274324591398,0.375,0.2727272727272727,4449.5,0.0002898806060634257,159,41
max_out_degree,1.7106918238993711,2.1463414634146343,2.0,2.0,2280.5,0.001152730604426692,159,41
n_arithmetic,3.3773584905660377,4.585365853658536,3.0,4.0,2293.5,0.002665654543271192,159,41
orphan_nodes,0.0880503144654088,0.24390243902439024,0.0,0.0,2896.5,0.04306691353220995,159,41
conclude_in_degree,1.169811320754717,1.3170731707317074,1.0,1.0,2949.5,0.15562904057491603,159,41
unsupported_arithmetic,0.050314465408805034,0.0,0.0,0.0,3403.0,0.17402642402261015,159,41
frac_arithmetic,0.4460194941327016,0.4566422060324499,0.42857142857142855,0.5,2974.5,0.3863567090827027,159,41
n_facts,2.6729559748427674,2.682926829268293,3.0,3.0,3397.0,0.6600833982806852,159,41
n_conclude,1.0,1.0,1.0,1.0,3259.5,1.0,159,41
unsupported_conclude,0.0,0.0,0.0,0.0,3259.5,1.0,159,41
