feature,correct_mean,wrong_mean,correct_median,wrong_median,u_stat,p_value,n_correct,n_wrong
n_steps,7.316770186335404,9.025641025641026,7.0,9.0,1796.5,2.55773105787715e-05,161,39
depth,4.211180124223603,4.923076923076923,4.0,5.0,2165.5,0.0016472579681583068,161,39
n_arithmetic,3.5093167701863353,4.256410256410256,3.0,4.0,2427.0,0.023459367816856064,161,39
mean_out_degree,1.0014279888503492,1.059555869980971,1.0,1.0,2455.0,0.03281048083642238,161,39
mean_in_degree,1.0014279888503492,1.059555869980971,1.0,1.0,2455.0,0.03281048083642238,161,39
frac_facts,0.34095368054995384,0.30751987179112694,0.36363636363636365,0.2857142857142857,3815.0,0.03652199521110682,161,39
n_conclude,1.0,1.0256410256410255,1.0,1.0,3059.0,0.04346865666474855,161,39
max_out_degree,1.7577639751552796,2.1794871794871793,2.0,2.0,2573.5,0.05767129524211808,161,39
orphan_nodes,0.062111801242236024,0.1282051282051282,0.0,0.0,2932.0,0.16178165753659035,161,39
n_facts,2.4968944099378882,2.7435897435897436,3.0,3.0,2835.0,0.3231171292041721,161,39
unsupported_arithmetic,0.043478260869565216,0.10256410256410256,0.0,0.0,3055.5,0.38356235359463087,161,39
frac_arithmetic,0.47754340207756346,0.46200500279447637,0.4444444444444444,0.4444444444444444,3282.5,0.6580615093525995,161,39
conclude_in_degree,1.1304347826086956,1.1794871794871795,1.0,1.0,3055.5,0.6636783982225267,161,39
unsupported_conclude,0.0,0.0,0.0,0.0,3139.5,1.0,161,39
