question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes
gsm-hard-0,True,8,6,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0
gsm-hard-1,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-2,False,11,6,3,3,1,0.2727272727272727,0.2727272727272727,0,0,1,4,1.4545454545454546,1.4545454545454546,1
gsm-hard-3,True,8,5,4,3,1,0.5,0.375,0,0,1,2,1.0,1.0,0
gsm-hard-4,True,6,5,3,1,1,0.5,0.16666666666666666,0,0,1,2,1.3333333333333333,1.3333333333333333,0
gsm-hard-5,True,9,4,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,2,1.1111111111111112,1.1111111111111112,0
gsm-hard-6,True,12,5,6,3,1,0.5,0.25,0,0,1,3,1.3333333333333333,1.3333333333333333,0
gsm-hard-7,True,12,8,5,5,1,0.4166666666666667,0.4166666666666667,0,0,2,5,1.5,1.5,0
gsm-hard-8,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-9,False,6,4,1,2,1,0.16666666666666666,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-10,True,6,4,4,1,1,0.6666666666666666,0.16666666666666666,0,0,1,3,1.1666666666666667,1.1666666666666667,0
gsm-hard-11,True,7,4,2,3,1,0.2857142857142857,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-12,True,7,4,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-13,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-14,True,8,6,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0
gsm-hard-15,True,5,3,3,1,1,0.6,0.2,0,0,1,2,1.0,1.0,0
gsm-hard-16,False,10,8,4,2,1,0.4,0.2,0,0,1,2,1.0,1.0,0
gsm-hard-17,True,10,7,7,2,1,0.7,0.2,0,0,1,2,1.3,1.3,0
gsm-hard-18,False,10,6,6,2,1,0.6,0.2,0,0,1,2,1.4,1.4,0
gsm-hard-19,True,7,5,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-20,False,9,7,5,2,1,0.5555555555555556,0.2222222222222222,0,0,1,2,1.1111111111111112,1.1111111111111112,0
gsm-hard-21,True,5,3,3,1,1,0.6,0.2,0,0,1,3,1.2,1.2,0
